0 	288.15
0.00217143 	289.233
0.00434286 	290.246
0.00651429 	291.064
0.00868571 	291.613
0.0108571 	291.961
0.0130286 	292.203
0.0152 	292.387
0.0173714 	292.532
0.0195429 	292.647
0.0217143 	292.738
0.0238857 	292.809
0.0260571 	292.865
0.0282286 	292.908
0.0304 	292.941
0.0325714 	292.97
0.0347429 	292.996
0.0369143 	293.024
0.0390857 	293.055
0.0412571 	293.093
0.0434286 	293.139
0.0456 	293.198
0.0477714 	293.275
0.0499429 	293.376
0.0521143 	293.51
0.0542857 	293.694
0.0564571 	293.946
0.0586286 	294.292
0.0608 	294.781
0.0629714 	295.492
0.0651429 	296.498
0.0673143 	297.84
0.0694857 	299.629
0.0716571 	301.994
0.0738286 	304.793
0.076 	307.75
